Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
20,"M Ceccato, P Tonella, F Ricca",Is AOP code easier or harder to test than OOP code,84,2005, Citeseer, First Workshop on Testing Aspect …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=eaf104f988a548343c68f091b4536900df8c4367,4
81,"J Gálvez, E Guzmán, R Conejo",A blended E-learning experience in a course of object oriented programming fundamentals,82,2009, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705109000203,5
2,"PJ Burton, RE Bruhn",Teaching programming in the OOP era,76,2003, dl.acm.org, ACM SIGCSE Bulletin,https://dl.acm.org/doi/abs/10.1145/782941.782993,3
30,"PJC Nunes, J Fonseca, M Vieira",phpSAFE: A security analysis tool for OOP web application plugins,73,2015, ieeexplore.ieee.org, 2015 45th Annual IEEE/IFIP …,https://ieeexplore.ieee.org/abstract/document/7266859/,7
87,R Pal,"Analysing catastrophic OOP health expenditure in India: Concepts, determinants and policy implications",68,2012, oii.igidr.ac.in,,http://oii.igidr.ac.in:8080/xmlui/handle/2275/105,5
61,"B Kmiec, PF Teixeira, RPA Berntsson…",Organellar oligopeptidase (OOP) provides a complementary pathway for targeting peptide degradation in mitochondria and chloroplasts,65,2013, National Acad Sciences, Proceedings of the …,https://www.pnas.org/doi/abs/10.1073/pnas.1307637110,5
98,BP Pokkunuri,Object oriented programming,57,1989, dl.acm.org, ACM Sigplan Notices,https://dl.acm.org/doi/abs/10.1145/71605.71612,2
80,"L Krinke, M Mahoney, DL Wulff",The role of the OOP antisense RNA in coliphage λ development,48,1991, Wiley Online Library, Molecular microbiology,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2958.1991.tb01900.x,1
95,"JA Goguen, J Meseguer",Extensions and foundations of object-oriented programming,46,1986, dl.acm.org, ACM SIGPLAN Notices,https://dl.acm.org/doi/pdf/10.1145/323648.323755,1
24,JM Chambers,"Object-oriented programming, functional programming and R",43,2014, projecteuclid.org,,https://projecteuclid.org/journals/statistical-science/volume-29/issue-2/Object-Oriented-Programming-Functional-Programming-and-R/10.1214/13-STS452.short,4
63,"M Esteves, AJ Mendes","OOP-Anim, a system to support learning of basic object oriented programming concepts.",43,0,ruse.bg,,http://ecet.ecs.uni-ruse.bg/cst/Docs/proceedings/S4/IV-6.pdf,0
42,"B Smith, B Smith",Object-oriented programming,41,2015, Springer, Advanced ActionScript 3: Design Patterns,https://link.springer.com/chapter/10.1007/978-1-4842-0671-3_1,4
40,"J Eifrig, S Smith, V Trifonov, A Zwarico",An interpretation of typed OOP in a language with state,40,1995, Springer, Lisp and Symbolic Computation,https://link.springer.com/article/10.1007/BF01018829,1
31,"J Eifrig, S Smith, V Trifonov, A Zwarico","Application of OOP type theory: State, decidability, integration",39,1994, dl.acm.org,oriented programming …,https://dl.acm.org/doi/abs/10.1145/191080.191086,1
35,PA Luker,There's more to OOP than syntax!,38,1994, dl.acm.org, ACM SIGCSE Bulletin,https://dl.acm.org/doi/pdf/10.1145/191033.191056,1
6,R Pecinovsky,OOP-Learn Object Oriented Thinking & Programming,37,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=xb-sAQAAQBAJ&oi=fnd&pg=PR5&dq=OOP&ots=Uh0Wz3wV4m&sig=N1V8be-fTtDiB8iEColq1hJoMhg,3
49,"N Burrus, A Duret-Lutz, T Géraud, D Lesage…",A static C++ object-oriented programming (SCOOP) paradigm mixing benefits of traditional OOP and generic programming,37,2003, dl.lre.epita.fr, Proceedings of the …,https://dl.lre.epita.fr/papers/burrus.03.mpool.pdf,2
78,"R Johnsonbaugh, M Kalin",Object-oriented Programming in C++,34,1995, dl.acm.org,,https://dl.acm.org/doi/abs/10.5555/175190,1
99,"F Khalid, W Raza, DR Hotchkiss…",… and out-of-pocket (OOP) expenditures in public and private facilities in Pakistan: an empirical analysis of the 2013–14 OOP health expenditure survey,33,2021, Springer, BMC health services …,https://link.springer.com/article/10.1186/s12913-021-06170-4,8
18,"ZZ Abidin, MAA Zawawi",Oop-ar: Learn object oriented programming using augmented reality,32,2020, lamintang.org, International Journal of Multimedia and …,http://lamintang.org/journal/index.php/ijmari/article/view/83,6
36,"LF Martha, IFM Menezes, EN Lages…",An OOP class organization for materially nonlinear finite element analysis,31,1996, researchgate.net, Joint Conference of …,https://www.researchgate.net/profile/Eduardo-Lages-2/publication/313139590_An_OOP_class_organization_for_materially_nonlinear_finite_element_analysis/links/5beaeab6a6fdcc3a8dd371ca/An-OOP-class-organization-for-materially-nonlinear-finite-element-analysis.pdf,1
14,"R Wiener, LJ Pinson",Fundamentals of OOP and data structures in Java,30,2000, books.google.com,,https://books.google.com/books?hl=en&lr=&id=dJ_DXvFnIgoC&oi=fnd&pg=PR13&dq=OOP&ots=isJTAVRXDY&sig=7pVeZtAwyf2J2qaB0YKwtjnwUmo,1
51,W Mitchell,A paradigm shift to OOP has occurred... implementation to follow,28,2001, researchgate.net, Journal of Computing Sciences in Colleges,https://www.researchgate.net/profile/William-Mitchell-5/publication/234808013_A_paradigm_shift_to_OOP_has_occurredimplementation_to_follow/links/5c23e64ca6fdccfc706b1389/A-paradigm-shift-to-OOP-has-occurredimplementation-to-follow.pdf,1
88,"D Nguyen, S Wong",OOP in introductory CS: Better students through abstraction,28,2001, Citeseer, Proceedings of the Fifth Workshop on Pedagogies …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8ea3f22fe8dd68617ca5c2a8b059e25d82dc9784,1
8,"N Bouali, E Nygren, SS Oyelere, J Suhonen…",Imikode: A VR game to introduce OOP concepts,26,2019, dl.acm.org, Proceedings of the 19th …,https://dl.acm.org/doi/abs/10.1145/3364510.3366149,4
1,"H Hourani, H Wasmi…",A code complexity model of object oriented programming (OOP),25,2019, ieeexplore.ieee.org, 2019 IEEE Jordan …,https://ieeexplore.ieee.org/abstract/document/8717448/,4
73,"P Hubwieser, M Berges",Minimally invasive programming courses: learning OOP with (out) instruction,20,2011, dl.acm.org, Proceedings of the 42nd ACM technical …,https://dl.acm.org/doi/abs/10.1145/1953163.1953195,1
39,"MT Fülöp, J Udvaros, Á Gubán, Á Sándor",Development of Computational Thinking Using Microcontrollers Integrated into OOP (Object-Oriented Programming),20,2022, mdpi.com, Sustainability,https://www.mdpi.com/2071-1050/14/12/7218,7
43,"J Keogh, M Giannini, W Rinaldi",OOP demystified,19,2004, dl.acm.org,,https://dl.acm.org/doi/abs/10.5555/984132,1
100,"B Pradhan, L Cavaleri",IP-OOP interaction in URM infilled frame structures: A new macro-modelling proposal,18,2020, Elsevier, Engineering Structures,https://www.sciencedirect.com/science/article/pii/S0141029620338128,4
65,MP Uysal,The effects of objects-first and objects-late methods on achievements of OOP learners,15,2012, scirp.org, Journal of Software Engineering and Applications,https://www.scirp.org/html/23962.html,1
69,"R Shmallo, N Ragonis, D Ginat",Fuzzy OOP: expanded and reduced term interpretations,14,2012, dl.acm.org, Proceedings of the 17th ACM annual …,https://dl.acm.org/doi/abs/10.1145/2325296.2325368,1
29,"A Ehlert, C Schulte",Comparison of OOP first and OOP later: first results regarding the role of comfort level,12,2010, dl.acm.org, Proceedings of the fifteenth annual conference on …,https://dl.acm.org/doi/abs/10.1145/1822090.1822122,1
70,"M Kramer, D Tobinski, T Brinda",Modelling competency in the field of OOP: from investigating computer science curricula to developing test items,12,2016, Springer, … Technology in Education: IFIP TC 3 …,https://link.springer.com/chapter/10.1007/978-3-319-54687-2_4,1
89,"S Xinogalos, M Sartatzemi, V Dagdilelis…",Teaching OOP with BlueJ: A case study,12,2006, ieeexplore.ieee.org, Sixth IEEE …,https://ieeexplore.ieee.org/abstract/document/1652599/,1
37,"H Mügge, T Rho, D Speicher, P Bihler…","Programming for Context-based Adaptability: Lessons learned about OOP, SOA, and AOP",12,2007, ieeexplore.ieee.org,15. ITG/GI …,https://ieeexplore.ieee.org/abstract/document/5755494/,1
54,"S Hirshfield, RK Ege",Object-oriented programming,11,1996, dl.acm.org, ACM Computing Surveys (CSUR),https://dl.acm.org/doi/pdf/10.1145/234313.234415,0
86,B Müller,Is object-oriented programming structured programming?,11,1993, dl.acm.org, ACM Sigplan Notices,https://dl.acm.org/doi/pdf/10.1145/165364.165385,0
9,"RW Collier, S Russell, D Lillis",Exploring AOP from an OOP perspective,10,2015, dl.acm.org, … of the 5th International Workshop on …,https://dl.acm.org/doi/abs/10.1145/2824815.2824818,1
26,AF Steyn,Buckley: die moderne oop-sisteembenadering,10,1984, Taylor & Francis, South African Journal of Sociology,https://www.tandfonline.com/doi/abs/10.1080/02580144.1984.10428978,0
82,"Y Hosanee, S Panchoo",An enhanced software tool to aid novices in learning Object Oriented Programming (OOP),10,2015, ieeexplore.ieee.org, 2015 International Conference on …,https://ieeexplore.ieee.org/abstract/document/7374197/,1
79,R Pecinovský,Jak efektivně učit OOP,8,2005, ii.iinfo.cz, Tvorba softwaru 2005–sborník přednášek,http://ii.iinfo.cz/r/k/Jak_efektivne_ucit_OOP.pdf,0
25,S Spolwig,"""Hello World"" in OOP.",7,1999, spolwig.de, Log In,http://spolwig.de/is/didaktik/helloworld.pdf,0
17,"S Wang, L Ding, L Shen, Y Luo, B Du, D Tao",OOP: Object-Oriented Programming Evaluation Benchmark for Large Language Models,6,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2401.06628,6
67,L Zhang,Study on comparison of AOP and OOP,6,2011, ieeexplore.ieee.org, 2011 International Conference on Computer Science …,https://ieeexplore.ieee.org/abstract/document/5974835/,0
71,W Al-Ahmad,A framework for conceptual modeling in OOP,5,2006, Elsevier, Journal of the Franklin Institute,https://www.sciencedirect.com/science/article/pii/S001600320600055X,0
48,H Zhu,From OOP to SOP: What Improved?,3,2005, uts.nipissingu.ca, IEEE International Conference on Service Operations …,https://uts.nipissingu.ca/haibinz/research/soli05.pdf,0
62,"A Sharma, R Kalsi",Is it true to say? AOP vs OOP,3,2016, indianjournals.com, International Journal of Management  IT and …,https://www.indianjournals.com/ijor.aspx?target=ijor:ijmie&volume=6&issue=3&article=003,0
46,"J Tepandi, C Rotuna, GP Sellitto, S Fieten…",The Technical Challenges in OOP Application Across the European Union and the TOOP OOP Architecture,3,2021, library.oapen.org,Only …,https://library.oapen.org/bitstream/handle/20.500.12657/50047/1/978-3-030-79851-2.pdf#page=151,1
68,JR Carter,OOP vs. readability,3,1997, dl.acm.org, ACM SIGAda Ada Letters,https://dl.acm.org/doi/abs/10.1145/249100.249114,0
41,"R Dewar, F Gasperoni",Safety and OOP,2,2006, ieeexplore.ieee.org, 2006 1st IET International Conference …,https://ieeexplore.ieee.org/abstract/document/4123699/,0
72,LS Tang,Some Effective OOP Examples,2,2006, Citeseer, Department of Mathematics and Computer Science …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8181fed258dc8d79c44cddd2f6921bf3c3d3c5b0,0
