Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
26,"YS Yordanov, V Armaos, CHW Barnes…",Qubit-excitation-based adaptive variational quantum eigensolver,123,2021, nature.com, Communications …,https://www.nature.com/articles/s42005-021-00730-0,31
3,"X Liu, A Angone, R Shaydulin, I Safro…",Layer VQE: A variational approach for combinatorial optimization on noisy quantum computers,100,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9669165/,33
10,"GLR Anselmetti, D Wierichs, C Gogolin…","Local, expressive, quantum-number-preserving VQE ansätze for fermionic systems",99,2021, iopscience.iop.org, New Journal of …,https://iopscience.iop.org/article/10.1088/1367-2630/ac2cb3/meta,25
36,"K Seki, T Shirakawa, S Yunoki",Symmetry-adapted variational quantum eigensolver,84,2020, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.101.052340,17
6,"D Chivilikhin, A Samarin, V Ulyantsev, I Iorsh…",MoG-VQE: Multiobjective genetic variational quantum eigensolver,82,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2007.04424,16
37,"K Fujii, K Mizuta, H Ueda, K Mitarai, W Mizukami…",Deep variational quantum eigensolver: a divide-and-conquer method for solving a larger problem with smaller size quantum computers,78,2022, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.3.010346,26
97,"D Amaro, M Rosenkranz, N Fitzpatrick…",A case study of variational quantum algorithms for a job shop scheduling problem,75,2022, epjqt.epj.org, EPJ Quantum …,https://epjqt.epj.org/articles/epjqt/abs/2022/01/40507_2022_Article_123/40507_2022_Article_123.html,25
76,"RR Ferguson, L Dellantonio, AA Balushi, K Jansen…",Measurement-based variational quantum eigensolver,73,2021, APS, Physical review …,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.126.220501,18
66,"A Uvarov, JD Biamonte, D Yudin",Variational quantum eigensolver for frustrated quantum systems,72,2020, APS, Physical Review B,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.102.075104,14
95,"R Xia, S Kais",Qubit coupled cluster singles and doubles variational quantum eigensolver ansatz for electronic structure calculations,67,2020, iopscience.iop.org, Quantum Science and Technology,https://iopscience.iop.org/article/10.1088/2058-9565/abbc74/meta,13
7,"S DiAdamo, M Ghibaudi, J Cruise",Distributed quantum computing and network control for accelerated vqe,61,2021, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9351762/,15
99,"HR Grimsley, GS Barron, E Barnes…","Adaptive, problem-tailored variational quantum eigensolver mitigates rough parameter landscapes and barren plateaus",59,2023, nature.com, npj Quantum …,https://www.nature.com/articles/s41534-023-00681-0,30
72,"Y Zhang, L Cincio, CFA Negre, P Czarnik…",Variational quantum eigensolver with reduced circuit complexity,55,2022, nature.com, npj Quantum …,https://www.nature.com/articles/s41534-022-00599-z,18
78,"F Zhang, N Gomes, Y Yao, PP Orth, T Iadecola",Adaptive variational quantum eigensolvers for highly excited states,53,2021, APS, Physical Review B,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.104.075159,13
48,"SX Zhang, ZQ Wan, CK Lee, CY Hsieh, S Zhang…",Variational quantum-neural hybrid eigensolver,44,2022, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.128.120502,15
49,"WM Kirby, PJ Love",Variational quantum eigensolvers for sparse Hamiltonians,43,2021, APS, Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.127.110503,11
44,"Y Li, J Hu, XM Zhang, Z Song…",Variational quantum simulation for quantum chemistry,43,2019, Wiley Online Library, Advanced Theory and …,https://onlinelibrary.wiley.com/doi/abs/10.1002/adts.201800182,7
50,"Y Ibe, YO Nakagawa, N Earnest, T Yamamoto…",Calculating transition amplitudes by variational quantum deflation,41,2022, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.4.013173,14
28,"C Feniou, M Hassan, D Traoré, E Giner…",Overlap-ADAPT-VQE: practical quantum chemistry on quantum computers via overlap-guided compact Ansätze,38,2023, nature.com, Communications …,https://www.nature.com/articles/s42005-023-01312-y,19
89,"F Zhang, N Gomes, NF Berthusen, PP Orth…",Shallow-circuit variational quantum eigensolver based on symmetry-inspired Hilbert space partitioning for quantum chemical calculations,36,2021, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.3.013039,9
18,"PG Anastasiou, Y Chen, NJ Mayhall, E Barnes…","TETRIS-ADAPT-VQE: An adaptive algorithm that yields shallower, denser circuit Ansätze",32,2024, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.013254,32
54,"HHS Chan, N Fitzpatrick, J Segarra-Martí…",Molecular excited state calculations with adaptive wavefunctions on a quantum eigensolver emulation: reducing circuit depth and separating spin states,26,2021, pubs.rsc.org, Physical Chemistry …,https://pubs.rsc.org/en/content/articlehtml/2021/cp/d1cp02227j,6
22,"SE Rasmussen, NJS Loft…",Reducing the amount of single‐qubit rotations in VQE and related algorithms,26,2020, Wiley Online Library, Advanced Quantum …,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.202000063,5
33,"K Mizuta, M Fujii, S Fujii, K Ichikawa, Y Imamura…",Deep variational quantum eigensolver for excited states and its application to quantum chemistry calculation of periodic materials,24,2021, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.3.043121,6
15,"AP Adelomou, EG Ribe, XV Cardona",Using the Parameterized Quantum Circuit combined with Variational-Quantum-Eigensolver (VQE) to create an Intelligent social workers' schedule problem solver,23,2020, arxiv.org, arXiv preprint arXiv:2010.05863,https://arxiv.org/abs/2010.05863,5
93,"CEP Robin, MJ Savage",Quantum simulations in effective model spaces: Hamiltonian-learning variational quantum eigensolver using digital quantum computers and application to the Lipkin …,23,2023, APS, Physical Review C,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.108.024313,12
98,"D Lee, J Lee, S Hong, HT Lim, YW Cho, SW Han…",Error-mitigated photonic variational quantum eigensolver using a single-photon ququart,22,2022, opg.optica.org, Optica,https://opg.optica.org/abstract.cfm?uri=optica-9-1-88,7
39,"ZX Shang, MC Chen, X Yuan, CY Lu, JW Pan",Schrödinger-Heisenberg variational quantum algorithms,16,2023, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.131.060406,8
52,"S Kanno, T Tada",Many-body calculations for periodic materials via restricted Boltzmann machine-based VQE,16,2021, iopscience.iop.org, Quantum Science and Technology,https://iopscience.iop.org/article/10.1088/2058-9565/abe139/meta,4
34,"J Müller, W Lavrijsen, C Iancu…",Accelerating noisy VQE optimization with Gaussian processes,15,2022, ieeexplore.ieee.org, 2022 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9951304/,5
29,"P Atchade Adelomou, E Golobardes Ribé…",Using the variational-quantum-eigensolver (vqe) to create an intelligent social workers schedule problem solver,15,2020, Springer, … Conference on Hybrid …,https://link.springer.com/chapter/10.1007/978-3-030-61705-9_21,3
40,"A Nykänen, MAC Rossi, EM Borrelli…",Mitigating the measurement overhead of ADAPT-VQE with optimised informationally complete generalised measurements,14,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2212.09719,5
24,"A Nakayama, K Mitarai, L Placidi, T Sugimoto…",VQE-generated quantum circuit dataset for machine learning,14,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2302.09751,7
16,"M Haidar, MJ Rančić, T Ayral, Y Maday…",Open source variational quantum eigensolver extension of the quantum learning machine for quantum chemistry,12,2023, Wiley Online Library, Wiley …,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcms.1664,6
14,"A Katabarwa, A Kunitsa, B Peropadre…",Reducing runtime and error in VQE using deeper and noisier quantum circuits,12,2021, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2110.10664,3
53,"W Saib, P Wallden, I Akhalwaya",The effect of noise on the performance of variational algorithms for quantum chemistry,11,2021, ieeexplore.ieee.org, 2021 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9605335/,3
46,"PG Anastasiou, NJ Mayhall, E Barnes…",How to really measure operator gradients in ADAPT-VQE,11,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2306.03227,6
23,"A Matsuo, Y Suzuki, S Yamashita",Problem-specific parameterized quantum circuits of the VQE algorithm for optimization problems,11,2020, ipsj.ixsq.nii.ac.jp, arXiv preprint arXiv:2006.05643,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=207303&item_no=1&page_id=13&block_id=8,2
19,"L Cadi Tazi, AJW Thom",Folded Spectrum VQE: A quantum computing method for the calculation of molecular excited states,10,2024, ACS Publications, Journal of Chemical Theory and …,https://pubs.acs.org/doi/abs/10.1021/acs.jctc.3c01378,10
82,"HR Grimsley, SE Economou, E Barnes…",Adapt-vqe: An exact variational algorithm for fermionic simulations on a quantum computer,9,2018, researchgate.net, arXiv preprint arXiv …,https://www.researchgate.net/profile/Harper-Grimsley/publication/330009069_ADAPT-VQE_An_exact_variational_algorithm_for_fermionic_simulations_on_a_quantum_computer/links/5c7d3807299bf1268d37b4aa/ADAPT-VQE-An-exact-variational-algorithm-for-fermionic-simulations-on-a-quantum-computer.pdf,1
58,"CEP Robin, MJ Savage",Quantum simulations in effective model spaces (i): Hamiltonian learning-VQE using digital quantum computers and application to the Lipkin-Meshkov-Glick model,8,2023, arxiv.org, arXiv preprint arXiv:2301.05976,https://arxiv.org/abs/2301.05976,4
38,"C Feniou, B Claudon, M Hassan, A Courtat…",Adaptive variational quantum algorithms on a noisy intermediate scale quantum computer,8,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2306.17159,4
45,"J Goings, L Zhao, J Jakowski, T Morris…",Molecular symmetry in vqe: A dual approach for trapped-ion simulations of benzene,8,2023, ieeexplore.ieee.org, … and Engineering (QCE …,https://ieeexplore.ieee.org/abstract/document/10313705/,4
65,"V Armaos, DA Badounas, P Deligiannis, K Lianos…",Efficient parabolic optimisation algorithm for adaptive VQE implementations,6,2022, Springer, SN Computer …,https://link.springer.com/article/10.1007/s42979-022-01346-z,2
87,"TJ Saun, TP Grantcharov",Development of the user experience (UX) and video quality evaluation (VQE) instruments for assessment of intraoperative video capture technology,6,2021, Elsevier, Journal of Surgical Education,https://www.sciencedirect.com/science/article/pii/S193172042030204X,2
73,A Tomiya,Schwinger model at finite temperature and density with beta VQE,5,2022, arxiv.org, arXiv preprint arXiv:2205.08860,https://arxiv.org/abs/2205.08860,2
59,"Z Liang, Z Song, J Cheng, H Ren, T Hao…",SpacePulse: Combining Parameterized Pulses and Contextual Subspace for More Practical VQE,5,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2311.17423,2
17,"I Medina, A Drinko, GI Correr, PC Azado…",VQE-inspired optimization for spin chains work extraction,5,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2310.07617,2
70,"RY Sun, T Shirakawa, S Yunoki",Efficient variational quantum circuit structure for correlated topological phases,4,2023, APS, Physical Review B,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.108.075127,2
83,"H Wakaura, T Tomono, S Yasuda",Evaluation on Genetic Algorithms as an optimizer of Variational Quantum Eigensolver (VQE) method,4,2021, arxiv.org, arXiv preprint arXiv:2110.07441,https://arxiv.org/abs/2110.07441,1
69,"H Westerheim, J Chen, Z Holmes, I Luo…",Dual-VQE: A quantum algorithm to lower bound the ground-state energy,4,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2312.03083,2
61,"F Truger, J Barzen, F Leymann, J Obst",Warm-Starting the VQE with Approximate Complex Amplitude Encoding,4,2024, arxiv.org, arXiv preprint arXiv:2402.17378,https://arxiv.org/abs/2402.17378,4
67,"QH Tran, S Kikuchi, H Oshima",Variational denoising for variational quantum eigensolver,4,2024, APS, Physical Review Research,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.023181,4
71,"M Wang, F Hua, C Liu, N Bauman, K Kowalski…",Enabling scalable vqe simulation on leading hpc systems,4,2023, dl.acm.org, Proceedings of the SC' …,https://dl.acm.org/doi/abs/10.1145/3624062.3624221,2
9,"TV Le, V Kekatos",Variational Quantum Eigensolver with Constraints (VQEC): Solving Constrained Optimization Problems via VQE,3,2023, arxiv.org, arXiv preprint arXiv:2311.08502,https://arxiv.org/abs/2311.08502,2
90,"Y Ueno, S Imamura, Y Tomida, T Tanimoto…",SFQ counter-based precomputation for large-scale cryogenic VQE machines,3,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2403.00363,3
77,"M Qing, W Xie",Use VQE to calculate the ground energy of hydrogen molecules on IBM Quantum,3,2023, arxiv.org, arXiv preprint arXiv:2305.06538,https://arxiv.org/abs/2305.06538,2
74,"Y Jin, Z Li, F Hua, Y Chen, H Chen, Y Huang…",Tetris: A compilation Framework for VQE Applications,3,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2309.01905,2
80,"M Alteg, B Chevalier, O Mestoudjian…",Study of adaptative derivative-assemble pseudo-trotter ansatzes in vqe through qiskit api,3,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2210.15438,1
57,"E Gustafson, K Sherbert, A Florio, K Shirali…",Surrogate Constructed Scalable Circuits ADAPT-VQE in the Schwinger model,2,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2408.12641,2
41,A Meijer-van de Griend…,QuantMark: A benchmarking API for VQE algorithms,2,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9735298/,1
43,"R Carobene, S Barison…",Sequence of penalties method to study excited states using VQE,2,2023, iopscience.iop.org, Quantum Science and …,https://iopscience.iop.org/article/10.1088/2058-9565/acd1a9/meta,1
42,"A Nykänen, L Thiessen, EM Borrelli…",Toward Accurate Calculation of Excitation Energies on Quantum Computers with ΔADAPT-VQE: A Case Study of BODIPY Derivatives,2,2024, ACS Publications, The Journal of …,https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.4c01301,2
51,"K Sugisaki, T Nakano…",Size‐consistency and orbital‐invariance issues revealed by VQE‐UCCSD calculations with the FMO scheme,2,2024, Wiley Online Library, Journal of Computational …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.27438,2
63,"A Nykänen, L Thiessen, EM Borrelli, V Krishna…",ADAPT-VQE: Toward Accurate Calculation of Excitation Energies on Quantum Computers for BODIPY Molecules With Application in Photodynamic Therapy,2,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2404.16149,2
27,"M Ramôa, PG Anastasiou, LP Santos…",Reducing the Resources Required by ADAPT-VQE Using Coupled Exchange Operators and Improved Subroutines,2,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2407.08696,2
100,"Q Guo, PX Chen",Optimization of VQE-UCC algorithm based on spin state symmetry,2,2021, frontiersin.org, Frontiers in Physics,https://www.frontiersin.org/articles/10.3389/fphy.2021.735321/full,0
75,"Y Qian, Y Du, D Tao",Shuffle-QUDIO: accelerate distributed VQE with trainability enhancement and measurement reduction,2,2024, Springer, Quantum Machine Intelligence,https://link.springer.com/article/10.1007/s42484-024-00167-y,2
47,"G Carrascal, B Roman, A del Barrio, G Botella",Differential evolution VQE for crypto-currency arbitrage. Quantum optimization with many local minima,1,2024, Elsevier, Digital Signal Processing,https://www.sciencedirect.com/science/article/pii/S1051200424000897,1
21,"D Raveh, RI Nepomechie",Estimating Bethe roots with VQE,1,2024, arxiv.org, arXiv preprint arXiv:2404.18244,https://arxiv.org/abs/2404.18244,1
13,Y Shen,Prepare ansatz for VQE with diffusion model,1,2023, arxiv.org, arXiv preprint arXiv:2310.02511,https://arxiv.org/abs/2310.02511,0
32,"Y Guo, T Angelides, K Jansen, S Kühn",Concurrent VQE for Simulating Excited States of the Schwinger Model,1,2024, arxiv.org, arXiv preprint arXiv:2407.15629,https://arxiv.org/abs/2407.15629,1
30,"H Singh, S Majumder, S Mishra",SHARC-VQE: Simplified Hamiltonian Approach with Refinement and Correction enabled Variational Quantum Eigensolver for Molecular Simulation,1,2024, arxiv.org, arXiv preprint arXiv:2407.12305,https://arxiv.org/abs/2407.12305,1
96,"KR Swain, VS Prasannaa, K Sugisaki…",Calculation of molecular electric dipole moments of light and moderately heavy molecules using relativistic VQE algorithm,1,2022, academia.edu, arXiv preprint arXiv …,https://www.academia.edu/download/98256378/2211.06907.pdf,0
86,"Z Xu, Y Fan, C Guo, H Shang",MPS-VQE: A variational quantum computational chemistry simulator with matrix product states,1,2024, Elsevier, Computer Physics Communications,https://www.sciencedirect.com/science/article/pii/S0010465523002424,1
88,"N Kaushik, A Raj, M Srivastava…",Financial Portfolio Optimization: A QAOA and VQE Formulation for Sharpe Ratio Maximization,1,2023, ieeexplore.ieee.org, … on Recent Trends in …,https://ieeexplore.ieee.org/abstract/document/10480826/,0
79,"M Majland, P Ettenhuber, NT Zinner…",Vibrational ADAPT-VQE: Critical points lead to problematic convergence,1,2024, pubs.aip.org, The Journal of …,https://pubs.aip.org/aip/jcp/article/160/15/154109/3283145,1
94,"ZT Li, FX Meng, H Zeng, ZC Zhang, XT Yu",An Efficient Gradient Sensitive Alternate Framework for VQE with Variable Ansatz,1,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2205.03031,0
68,"PV Itaboraí, T Schwägerl, MA Yáñez, A Crippa…",Variational quantum harmonizer: Generating chord progressions and other sonification methods with the vqe algorithm,1,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2309.12254,0
64,"S Zhang, Z Qin, Y Zhou, R Li, C Du, Z Xiao",Single Entanglement Connection Architecture between Multi-Layer HEA for Distributed VQE,1,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2307.12323,0
20,"T Pandey, J Saroni, A Kazi, K Sharma",Efficient variational quantum eigensolver methodologies on quantum processors,0,2024, arxiv.org, arXiv preprint arXiv:2407.16107,https://arxiv.org/abs/2407.16107,0
35,"C Ciaramelletti, M Beseda, M Consiglio…",Detecting quasi-degenerate ground states in 1D topological models via VQE,0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2408.15179,0
31,"S Wang, G Li, Z Chen, P Wang, M Dou, H Zheng…",Improving the trainability of VQE on NISQ computers for solving portfolio optimization using convex interpolation,0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2407.05589,0
12,X Lin,An Evidence of Addressing Coherence Errors in VQE Observables by Pulse-level VQE Approach,0,2024, arxiv.org, arXiv preprint arXiv:2410.19286,https://arxiv.org/abs/2410.19286,0
60,"DS Steiger, T Häner, SN Genin…",Sparse Simulation of VQE Circuits for Quantum Chemistry,0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2404.10047,0
84,"A Uttarkar, V Niranjan","A comparative insight into peptide folding with quantum CVaR-VQE algorithm, MD simulations and structural alphabet analysis",0,2024, Springer, Quantum Information Processing,https://link.springer.com/article/10.1007/s11128-024-04261-9,0
92,"Z Liang, Z Song, J Cheng, H Ren, T Hao…",Combining Parameterized Pulses and Contextual Subspace for More Practical VQE,0,2024, dl.acm.org, Proceedings of the 61st …,https://dl.acm.org/doi/abs/10.1145/3649329.3656245,0
85,DA Leidreiter,Investigating Evolving Ansatz VQE Algorithms for Job Shop Scheduling,0,2023, elib.dlr.de,,https://elib.dlr.de/206087/,0
91,"J Lee, W Song, D Lee, Y Kim, SW Lee, HT Lim…",Photonic variational quantum eigensolver using entanglement measurements,0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2404.15579,0
